numBases=10;
numSpecialists=30;
c=[52 28 68 21 93 70 95 10 74 81 67 84 77 16 44 53 64 99 28 47 80 61 74 51 98 84 10 83 92 38];
w=[59 24 26 34 70 49 91 76 88 15 14 7 60 26 56 70 62 70 67 35 91 85 23 25 84 14 71 16 23 25];
t=[
  [0 10 7 15 25 -1 10 29 6 8]
  [10 0 19 19 21 -1 5 6 -1 -1]
  [7 19 0 6 30 -1 -1 20 26 -1]
  [15 19 6 0 17 15 26 22 7 8]
  [25 21 30 17 0 7 -1 7 -1 21]
  [-1 -1 -1 15 7 0 14 -1 -1 26]
  [10 5 -1 26 -1 14 0 27 -1 23]
  [29 6 20 22 7 -1 27 0 10 7]
  [6 -1 26 7 -1 -1 -1 10 0 5]
  [8 -1 -1 8 21 26 23 7 5 0]
];
