n = 10;

m = 34;

w = [  9  16  2  19  5  18  6  8  3  20  10  14  18  10  15  14  8  11  3  13  10  16  8  12  11  11  17  4  14  7  3  3  2  17  ];

c = [  14  94  67  81  87  30  7  6  83  87  7  85  40  53  63  20  56  43  46  39  51  71  84  6  5  88  55  56  8  76  53  21  69  20  ];

t = [
    [  0  56  -1  61  -1  -1  15  -1  75  72  ]
    [  56  0  91  66  93  64  24  -1  98  5  ]
    [  -1  91  0  86  -1  -1  -1  81  -1  45  ]
    [  61  66  86  0  25  -1  69  -1  -1  38  ]
    [  -1  93  -1  25  0  18  1  -1  -1  97  ]
    [  -1  64  -1  -1  18  0  -1  -1  -1  85  ]
    [  15  24  -1  69  1  -1  0  -1  -1  83  ]
    [  -1  -1  81  -1  -1  -1  -1  0  86  -1  ]
    [  75  98  -1  -1  -1  -1  -1  86  0  29  ]
    [  72  5  45  38  97  85  83  -1  29  0  ]
];
