n = 10;

m = 43;

w = [  19  6  19  18  16  12  8  8  4  14  9  14  5  2  1  19  12  9  9  5  16  2  3  9  13  4  9  7  18  4  8  9  1  6  6  16  10  13  4  13  6  4  18  ];

c = [  92  32  11  10  40  75  58  57  53  87  71  64  94  9  96  71  26  48  95  18  81  93  9  35  67  87  22  54  52  43  11  45  75  21  52  13  95  10  68  46  94  39  10  ];

t = [
    [  0  46  60  50  -1  31  -1  -1  -1  -1  ]
    [  46  0  85  31  -1  -1  1  25  -1  -1  ]
    [  60  85  0  81  -1  20  -1  -1  -1  73  ]
    [  50  31  81  0  90  20  67  -1  -1  88  ]
    [  -1  -1  -1  90  0  40  92  90  -1  16  ]
    [  31  -1  20  20  40  0  -1  47  17  -1  ]
    [  -1  1  -1  67  92  -1  0  -1  -1  -1  ]
    [  -1  25  -1  -1  90  47  -1  0  94  97  ]
    [  -1  -1  -1  -1  -1  17  -1  94  0  -1  ]
    [  -1  -1  73  88  16  -1  -1  97  -1  0  ]
];
