n = 11;

m = 38;

w = [  15  7  4  18  6  4  9  6  5  15  15  5  4  15  3  2  2  10  18  5  9  20  14  19  3  3  1  1  11  14  5  17  20  20  15  5  4  3  ];

c = [  50  42  22  45  60  51  41  32  58  20  43  54  49  20  62  83  46  78  30  13  71  83  55  49  10  36  25  3  2  67  57  52  10  77  94  67  26  35  ];

t = [
    [  0  -1  -1  39  98  95  3  -1  13  -1  -1  ]
    [  -1  0  -1  -1  -1  14  3  -1  52  -1  46  ]
    [  -1  -1  0  -1  -1  51  -1  -1  72  46  -1  ]
    [  39  -1  -1  0  -1  39  60  -1  -1  68  -1  ]
    [  98  -1  -1  -1  0  -1  -1  26  -1  -1  49  ]
    [  95  14  51  39  -1  0  20  -1  -1  52  -1  ]
    [  3  3  -1  60  -1  20  0  41  -1  -1  -1  ]
    [  -1  -1  -1  -1  26  -1  41  0  63  53  -1  ]
    [  13  52  72  -1  -1  -1  -1  63  0  -1  -1  ]
    [  -1  -1  46  68  -1  52  -1  53  -1  0  -1  ]
    [  -1  46  -1  -1  49  -1  -1  -1  -1  -1  0  ]
];
