n = 13;

m = 41;

w = [  18  6  4  16  2  2  10  4  1  17  19  15  2  10  2  5  4  19  4  5  18  2  16  16  13  19  12  14  7  7  20  4  13  16  19  6  17  1  9  18  17  ];

c = [  89  70  50  1  79  70  27  56  95  67  84  54  52  18  68  3  91  58  98  42  45  80  62  70  13  84  77  41  1  87  19  90  56  66  88  35  36  15  90  29  79  ];

t = [
    [  0  80  89  -1  80  27  47  -1  -1  -1  -1  -1  57  ]
    [  80  0  77  -1  -1  39  65  -1  53  29  80  12  85  ]
    [  89  77  0  -1  -1  10  16  -1  35  -1  -1  -1  54  ]
    [  -1  -1  -1  0  61  -1  -1  -1  -1  -1  3  -1  26  ]
    [  80  -1  -1  61  0  29  76  -1  3  37  39  59  73  ]
    [  27  39  10  -1  29  0  60  90  -1  -1  25  25  88  ]
    [  47  65  16  -1  76  60  0  68  -1  20  -1  93  12  ]
    [  -1  -1  -1  -1  -1  90  68  0  26  66  69  35  -1  ]
    [  -1  53  35  -1  3  -1  -1  26  0  95  48  -1  23  ]
    [  -1  29  -1  -1  37  -1  20  66  95  0  10  35  68  ]
    [  -1  80  -1  3  39  25  -1  69  48  10  0  -1  16  ]
    [  -1  12  -1  -1  59  25  93  35  -1  35  -1  0  48  ]
    [  57  85  54  26  73  88  12  -1  23  68  16  48  0  ]
];
