n = 11;

m = 27;

w = [  3  10  12  14  3  2  18  14  8  2  17  8  16  15  1  19  6  18  6  19  18  3  1  8  15  18  16  ];

c = [  46  40  40  72  32  84  61  59  17  32  2  15  7  30  74  63  16  17  95  33  8  20  49  59  50  87  15  ];

t = [
    [  0  -1  -1  29  5  12  51  92  -1  -1  82  ]
    [  -1  0  -1  -1  -1  -1  70  -1  -1  84  -1  ]
    [  -1  -1  0  -1  -1  -1  -1  -1  -1  46  16  ]
    [  29  -1  -1  0  51  -1  -1  -1  30  -1  -1  ]
    [  5  -1  -1  51  0  30  -1  99  29  -1  5  ]
    [  12  -1  -1  -1  30  0  -1  38  -1  82  -1  ]
    [  51  70  -1  -1  -1  -1  0  95  14  -1  -1  ]
    [  92  -1  -1  -1  99  38  95  0  -1  15  -1  ]
    [  -1  -1  -1  30  29  -1  14  -1  0  -1  7  ]
    [  -1  84  46  -1  -1  82  -1  15  -1  0  -1  ]
    [  82  -1  16  -1  5  -1  -1  -1  7  -1  0  ]
];
