alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,tuning_instance_5.dat,2858.80,2212.00,3425.00,523.50,2.836,5,5,100.0
0.1,tuning_instance_5.dat,3223.60,2413.00,4033.00,624.15,3.715,5,5,100.0
0.2,tuning_instance_5.dat,2900.60,2211.00,4038.00,740.68,3.087,5,5,100.0
0.3,tuning_instance_5.dat,3509.20,2618.00,5460.00,1136.16,4.825,5,5,100.0
0.4,tuning_instance_5.dat,2819.20,2413.00,3427.00,430.39,2.725,5,5,100.0
0.5,tuning_instance_5.dat,2899.40,2413.00,3224.00,368.30,3.059,5,5,100.0
0.6,tuning_instance_5.dat,3508.00,2615.00,5051.00,914.70,4.761,5,5,100.0
0.7,tuning_instance_5.dat,2898.80,2211.00,3628.00,600.58,3.083,5,5,100.0
0.8,tuning_instance_5.dat,3507.40,2615.00,4643.00,890.48,4.786,5,5,100.0
0.9,tuning_instance_5.dat,2858.40,2211.00,3628.00,630.49,2.945,5,5,100.0
1.0,tuning_instance_5.dat,3548.80,2615.00,4242.00,726.07,4.487,5,5,100.0
