alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,tuning_instance_4.dat,3302.80,3016.00,4030.00,419.86,4.751,5,5,100.0
0.1,tuning_instance_4.dat,2207.60,2007.00,2411.00,201.01,2.171,5,5,100.0
0.2,tuning_instance_4.dat,2570.40,2206.00,3420.00,482.98,3.011,5,5,100.0
0.3,tuning_instance_4.dat,3424.60,2615.00,4234.00,715.66,5.339,5,5,100.0
0.4,tuning_instance_4.dat,2611.80,1802.00,3829.00,745.12,3.317,5,5,100.0
0.5,tuning_instance_4.dat,3016.80,2407.00,4030.00,673.05,4.338,5,5,100.0
0.6,tuning_instance_4.dat,2653.80,1803.00,3626.00,826.75,3.134,5,5,100.0
0.7,tuning_instance_4.dat,3018.00,2207.00,4031.00,671.40,4.147,5,5,100.0
0.8,tuning_instance_4.dat,2695.20,1802.00,3433.00,683.38,3.110,5,5,100.0
0.9,tuning_instance_4.dat,2329.80,1802.00,3831.00,878.92,2.788,5,5,100.0
1.0,tuning_instance_4.dat,2531.00,1802.00,3627.00,792.66,3.088,5,5,100.0
