alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_1.dat,5692.00,5692.00,5692.00,0.00,0.898,1,1,100.0
0.1,s100_p1000_instance_1.dat,7479.00,7479.00,7479.00,0.00,1.159,1,1,100.0
0.2,s100_p1000_instance_1.dat,5256.00,5256.00,5256.00,0.00,0.788,1,1,100.0
0.3,s100_p1000_instance_1.dat,5969.00,5969.00,5969.00,0.00,0.746,1,1,100.0
0.4,s100_p1000_instance_1.dat,8635.00,8635.00,8635.00,0.00,1.518,1,1,100.0
0.5,s100_p1000_instance_1.dat,4174.00,4174.00,4174.00,0.00,0.427,1,1,100.0
0.6,s100_p1000_instance_1.dat,5070.00,5070.00,5070.00,0.00,0.709,1,1,100.0
0.7,s100_p1000_instance_1.dat,6355.00,6355.00,6355.00,0.00,1.218,1,1,100.0
0.8,s100_p1000_instance_1.dat,5297.00,5297.00,5297.00,0.00,0.636,1,1,100.0
0.9,s100_p1000_instance_1.dat,7079.00,7079.00,7079.00,0.00,0.779,1,1,100.0
1.0,s100_p1000_instance_1.dat,5692.00,5692.00,5692.00,0.00,0.881,1,1,100.0
