alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_3.dat,6039.20,3304.00,7469.00,1634.27,0.147,0.178,0.170,0.167,5,5,100.0
0.1,s100_p1000_instance_3.dat,7614.60,6503.00,8484.00,838.11,0.174,0.189,0.181,0.182,5,5,100.0
0.2,s100_p1000_instance_3.dat,4306.20,3339.00,5357.00,907.80,0.149,0.165,0.160,0.157,5,5,100.0
0.3,s100_p1000_instance_3.dat,7453.00,3522.00,14074.00,3981.29,0.150,0.224,0.175,0.180,5,5,100.0
0.4,s100_p1000_instance_3.dat,5021.00,3519.00,8175.00,1861.28,0.152,0.188,0.161,0.163,5,5,100.0
0.5,s100_p1000_instance_3.dat,6646.80,4437.00,8848.00,1709.14,0.195,0.296,0.259,0.252,5,5,100.0
0.6,s100_p1000_instance_3.dat,5395.80,3808.00,8996.00,2106.82,0.157,0.237,0.168,0.190,5,5,100.0
0.7,s100_p1000_instance_3.dat,6670.20,4845.00,9595.00,1950.17,0.165,0.202,0.181,0.180,5,5,100.0
0.8,s100_p1000_instance_3.dat,8199.40,6774.00,9657.00,1239.53,0.180,0.204,0.188,0.190,5,5,100.0
0.9,s100_p1000_instance_3.dat,8178.60,5634.00,16030.00,4422.07,0.171,0.238,0.174,0.187,5,5,100.0
1.0,s100_p1000_instance_3.dat,7286.00,4250.00,9466.00,2194.50,0.161,0.200,0.181,0.184,5,5,100.0
