alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,tuning_instance_9.dat,2865.40,1807.00,3437.00,666.42,4.945,5,5,100.0
0.1,tuning_instance_9.dat,3273.60,2420.00,5281.00,1152.50,6.409,5,5,100.0
0.2,tuning_instance_9.dat,2902.80,2212.00,3432.00,567.92,5.240,5,5,100.0
0.3,tuning_instance_9.dat,3354.60,2826.00,3850.00,511.10,6.168,5,5,100.0
0.4,tuning_instance_9.dat,3519.40,2831.00,4248.00,546.13,7.478,5,5,100.0
0.5,tuning_instance_9.dat,4091.20,2821.00,4871.00,799.93,9.874,5,5,100.0
0.6,tuning_instance_9.dat,3110.20,2218.00,3839.00,652.37,5.889,5,5,100.0
0.7,tuning_instance_9.dat,2906.40,1807.00,4252.00,1129.83,5.756,5,5,100.0
0.8,tuning_instance_9.dat,3356.60,2618.00,4053.00,556.08,6.132,5,5,100.0
0.9,tuning_instance_9.dat,2986.80,2619.00,3635.00,389.79,5.529,5,5,100.0
1.0,tuning_instance_9.dat,2743.60,2217.00,3845.00,653.97,4.684,5,5,100.0
