alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,tuning_instance_1.dat,3138.80,2006.00,4641.00,957.46,3.803,5,5,100.0
0.1,tuning_instance_1.dat,2895.40,1804.00,3421.00,750.25,3.166,5,5,100.0
0.2,tuning_instance_1.dat,3097.20,2611.00,3626.00,395.59,7.543,5,5,100.0
0.3,tuning_instance_1.dat,3179.20,2813.00,4035.00,486.42,8.269,5,5,100.0
0.4,tuning_instance_1.dat,3057.20,2409.00,3623.00,482.30,3.514,5,5,100.0
0.5,tuning_instance_1.dat,2813.40,2409.00,3218.00,286.02,2.942,5,5,100.0
0.6,tuning_instance_1.dat,3627.40,2410.00,5254.00,1074.65,4.131,5,5,100.0
0.7,tuning_instance_1.dat,2977.20,2611.00,3833.00,507.05,2.672,5,5,100.0
0.8,tuning_instance_1.dat,3097.80,2006.00,3626.00,633.40,3.171,5,5,100.0
0.9,tuning_instance_1.dat,3137.00,2816.00,3420.00,229.57,3.364,5,5,100.0
1.0,tuning_instance_1.dat,3341.00,2816.00,4232.00,649.35,3.369,5,5,100.0
