alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,tuning_instance_6.dat,3060.80,2412.00,3836.00,526.40,3.359,5,5,100.0
0.1,tuning_instance_6.dat,2857.80,1807.00,3626.00,748.12,3.354,5,5,100.0
0.2,tuning_instance_6.dat,3184.40,2210.00,4036.00,829.51,3.217,5,5,100.0
0.3,tuning_instance_6.dat,2535.00,2008.00,3022.00,419.80,2.800,5,5,100.0
0.4,tuning_instance_6.dat,2778.20,2614.00,3020.00,168.90,3.050,5,5,100.0
0.5,tuning_instance_6.dat,2655.40,1807.00,3424.00,660.84,2.978,5,5,100.0
0.6,tuning_instance_6.dat,3144.40,2212.00,4651.00,949.12,3.445,5,5,100.0
0.7,tuning_instance_6.dat,2778.20,2008.00,4032.00,863.85,2.915,5,5,100.0
0.8,tuning_instance_6.dat,3306.60,2412.00,5057.00,1023.47,3.789,5,5,100.0
0.9,tuning_instance_6.dat,3264.00,2210.00,4036.00,750.81,3.485,5,5,100.0
1.0,tuning_instance_6.dat,3142.80,2412.00,3631.00,468.00,3.400,5,5,100.0
