alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,tuning_instance_3.dat,3292.20,2404.00,4225.00,709.46,2.254,5,5,100.0
0.1,tuning_instance_3.dat,2405.20,1400.00,3614.00,842.10,1.970,5,5,100.0
0.2,tuning_instance_3.dat,3290.80,2806.00,4018.00,507.02,2.318,5,5,100.0
0.3,tuning_instance_3.dat,2485.80,1400.00,4018.00,992.87,2.073,5,5,100.0
0.4,tuning_instance_3.dat,2686.80,2002.00,4220.00,886.06,2.273,5,5,100.0
0.5,tuning_instance_3.dat,3212.60,2404.00,4229.00,870.53,2.208,5,5,100.0
0.6,tuning_instance_3.dat,3090.00,2203.00,3412.00,505.88,2.231,5,5,100.0
0.7,tuning_instance_3.dat,2929.40,2404.00,4021.00,694.50,2.243,5,5,100.0
0.8,tuning_instance_3.dat,3089.00,2605.00,4220.00,648.10,2.391,5,5,100.0
0.9,tuning_instance_3.dat,2968.00,2404.00,3614.00,460.02,2.437,5,5,100.0
1.0,tuning_instance_3.dat,2767.00,2002.00,3816.00,718.21,2.188,5,5,100.0
