alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_2.dat,4893.00,4893.00,4893.00,0.00,0.552,1,1,100.0
0.1,s100_p1000_instance_2.dat,3341.00,3341.00,3341.00,0.00,0.394,1,1,100.0
0.2,s100_p1000_instance_2.dat,4662.00,4662.00,4662.00,0.00,0.602,1,1,100.0
0.3,s100_p1000_instance_2.dat,5323.00,5323.00,5323.00,0.00,0.898,1,1,100.0
0.4,s100_p1000_instance_2.dat,6013.00,6013.00,6013.00,0.00,0.904,1,1,100.0
0.5,s100_p1000_instance_2.dat,6947.00,6947.00,6947.00,0.00,1.266,1,1,100.0
0.6,s100_p1000_instance_2.dat,4671.00,4671.00,4671.00,0.00,0.602,1,1,100.0
0.7,s100_p1000_instance_2.dat,6947.00,6947.00,6947.00,0.00,1.281,1,1,100.0
0.8,s100_p1000_instance_2.dat,6234.00,6234.00,6234.00,0.00,1.180,1,1,100.0
0.9,s100_p1000_instance_2.dat,4671.00,4671.00,4671.00,0.00,0.607,1,1,100.0
1.0,s100_p1000_instance_2.dat,6476.00,6476.00,6476.00,0.00,1.229,1,1,100.0
