alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_7.dat,6824.77,4573.00,15825.00,1851.74,0.054,0.128,0.072,0.075,100,100,100.0
0.1,s100_p1000_instance_7.dat,6687.40,4472.00,13552.00,1833.31,0.056,0.110,0.073,0.075,100,100,100.0
0.2,s100_p1000_instance_7.dat,6583.83,4465.00,17460.00,1853.26,0.061,0.114,0.074,0.077,100,100,100.0
0.3,s100_p1000_instance_7.dat,6903.82,4707.00,20083.00,2086.81,0.061,0.116,0.074,0.077,99,100,99.0
0.4,s100_p1000_instance_7.dat,7176.78,4594.00,15253.00,1933.39,0.062,0.127,0.076,0.080,100,100,100.0
0.5,s100_p1000_instance_7.dat,7617.31,5069.00,15187.00,1803.99,0.067,0.132,0.079,0.082,100,100,100.0
0.6,s100_p1000_instance_7.dat,7612.15,5299.00,16969.00,2187.63,0.063,0.127,0.078,0.083,100,100,100.0
0.7,s100_p1000_instance_7.dat,7703.21,5352.00,15702.00,1864.54,0.062,0.118,0.080,0.082,100,100,100.0
0.8,s100_p1000_instance_7.dat,7778.37,5402.00,20954.00,2538.04,0.065,0.113,0.081,0.083,100,100,100.0
0.9,s100_p1000_instance_7.dat,8222.12,5501.00,18278.00,2447.60,0.068,0.143,0.082,0.084,100,100,100.0
1.0,s100_p1000_instance_7.dat,7682.86,5415.00,16399.00,1896.88,0.063,0.127,0.080,0.082,100,100,100.0
