n = 11;

m = 28;

w = [  13  6  9  6  7  4  3  19  16  4  6  14  3  17  1  13  4  5  12  11  1  3  10  12  1  9  18  16  ];

c = [  56  22  21  52  64  9  64  27  85  57  57  34  65  7  40  15  28  53  55  76  13  62  88  1  20  60  63  96  ];

t = [
    [  0  40  87  -1  -1  25  2  67  7  21  -1  ]
    [  40  0  33  89  -1  -1  47  -1  -1  -1  -1  ]
    [  87  33  0  61  3  -1  -1  91  84  14  37  ]
    [  -1  89  61  0  -1  35  52  23  60  5  -1  ]
    [  -1  -1  3  -1  0  -1  57  -1  20  54  -1  ]
    [  25  -1  -1  35  -1  0  -1  81  -1  -1  -1  ]
    [  2  47  -1  52  57  -1  0  -1  -1  90  -1  ]
    [  67  -1  91  23  -1  81  -1  0  -1  15  94  ]
    [  7  -1  84  60  20  -1  -1  -1  0  73  42  ]
    [  21  -1  14  5  54  -1  90  15  73  0  10  ]
    [  -1  -1  37  -1  -1  -1  -1  94  42  10  0  ]
];
