alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_6.dat,8702.00,5489.00,15589.00,4071.22,0.164,0.222,0.177,0.183,5,5,100.0
0.1,s100_p1000_instance_6.dat,6679.20,4488.00,11991.00,3035.88,0.162,0.212,0.168,0.176,5,5,100.0
0.2,s100_p1000_instance_6.dat,5720.80,4986.00,6454.00,629.73,0.162,0.178,0.170,0.170,5,5,100.0
0.3,s100_p1000_instance_6.dat,6784.20,5600.00,7505.00,815.66,0.169,0.183,0.179,0.178,5,5,100.0
0.4,s100_p1000_instance_6.dat,7061.00,5763.00,8770.00,1087.27,0.172,0.208,0.177,0.186,5,5,100.0
0.5,s100_p1000_instance_6.dat,5938.80,5133.00,7203.00,970.64,0.164,0.184,0.175,0.174,5,5,100.0
0.6,s100_p1000_instance_6.dat,6619.40,5795.00,7629.00,731.47,0.169,0.185,0.180,0.178,5,5,100.0
0.7,s100_p1000_instance_6.dat,9149.80,5628.00,21719.00,7040.89,0.171,0.266,0.185,0.201,5,5,100.0
0.8,s100_p1000_instance_6.dat,9055.80,7217.00,14126.00,2876.73,0.186,0.232,0.201,0.206,5,5,100.0
0.9,s100_p1000_instance_6.dat,6886.80,5931.00,8687.00,1122.65,0.171,0.192,0.184,0.181,5,5,100.0
1.0,s100_p1000_instance_6.dat,7760.40,5815.00,11179.00,2092.57,0.175,0.213,0.184,0.187,5,5,100.0
