alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_1.dat,7181.40,5240.00,8543.00,1334.53,0.162,0.187,0.178,0.177,5,5,100.0
0.1,s100_p1000_instance_1.dat,6258.80,5915.00,6582.00,290.90,0.170,0.178,0.173,0.174,5,5,100.0
0.2,s100_p1000_instance_1.dat,6776.00,4524.00,9010.00,1897.23,0.159,0.204,0.189,0.182,5,5,100.0
0.3,s100_p1000_instance_1.dat,8500.40,5289.00,14421.00,3624.32,0.169,0.226,0.189,0.190,5,5,100.0
0.4,s100_p1000_instance_1.dat,6878.40,3984.00,8956.00,1913.47,0.156,0.193,0.176,0.177,5,5,100.0
0.5,s100_p1000_instance_1.dat,6095.20,3924.00,7427.00,1328.07,0.158,0.190,0.176,0.175,5,5,100.0
0.6,s100_p1000_instance_1.dat,7364.80,6045.00,9099.00,1141.92,0.172,0.198,0.183,0.183,5,5,100.0
0.7,s100_p1000_instance_1.dat,7716.80,4062.00,9904.00,2371.60,0.159,0.207,0.191,0.187,5,5,100.0
0.8,s100_p1000_instance_1.dat,6878.40,6205.00,7428.00,530.15,0.176,0.185,0.180,0.180,5,5,100.0
0.9,s100_p1000_instance_1.dat,8504.00,4219.00,14404.00,4000.58,0.159,0.229,0.194,0.191,5,5,100.0
1.0,s100_p1000_instance_1.dat,8375.40,6011.00,11194.00,1916.18,0.179,0.211,0.195,0.194,5,5,100.0
