alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_9.dat,6787.60,4583.00,8854.00,1876.75,0.155,0.186,0.178,0.171,5,5,100.0
0.1,s100_p1000_instance_9.dat,6494.00,5721.00,7328.00,588.97,0.166,0.183,0.175,0.174,5,5,100.0
0.2,s100_p1000_instance_9.dat,5985.00,3938.00,7703.00,1521.21,0.163,0.183,0.176,0.173,5,5,100.0
0.3,s100_p1000_instance_9.dat,9107.40,4171.00,19159.00,5879.95,0.159,0.254,0.177,0.192,5,5,100.0
0.4,s100_p1000_instance_9.dat,6682.20,4280.00,9989.00,2496.27,0.157,0.296,0.177,0.198,5,5,100.0
0.5,s100_p1000_instance_9.dat,6694.20,4332.00,7928.00,1470.16,0.160,0.192,0.181,0.179,5,5,100.0
0.6,s100_p1000_instance_9.dat,7797.40,6082.00,10126.00,1925.30,0.173,0.204,0.179,0.188,5,5,100.0
0.7,s100_p1000_instance_9.dat,9443.00,4582.00,16962.00,5022.69,0.162,0.244,0.184,0.196,5,5,100.0
0.8,s100_p1000_instance_9.dat,7475.80,4795.00,9949.00,1947.07,0.170,0.203,0.183,0.187,5,5,100.0
0.9,s100_p1000_instance_9.dat,10072.80,7093.00,14340.00,2683.48,0.182,0.233,0.203,0.204,5,5,100.0
1.0,s100_p1000_instance_9.dat,7468.20,5083.00,9615.00,1649.73,0.171,0.202,0.188,0.187,5,5,100.0
