alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_4.dat,5343.60,4328.00,6251.00,730.09,0.159,0.169,0.163,0.163,5,5,100.0
0.1,s100_p1000_instance_4.dat,5716.80,4523.00,9118.00,1931.34,0.159,0.193,0.164,0.168,5,5,100.0
0.2,s100_p1000_instance_4.dat,5412.40,4342.00,6530.00,800.27,0.159,0.178,0.167,0.168,5,5,100.0
0.3,s100_p1000_instance_4.dat,5962.60,4599.00,7443.00,1209.36,0.163,0.185,0.178,0.173,5,5,100.0
0.4,s100_p1000_instance_4.dat,8583.60,7545.00,10932.00,1421.65,0.182,0.210,0.185,0.191,5,5,100.0
0.5,s100_p1000_instance_4.dat,6601.40,5156.00,8739.00,1525.17,0.167,0.194,0.170,0.177,5,5,100.0
0.6,s100_p1000_instance_4.dat,11126.40,6298.00,22452.00,6465.71,0.182,0.266,0.197,0.207,5,5,100.0
0.7,s100_p1000_instance_4.dat,8389.75,4997.00,14961.00,4501.18,0.168,0.231,0.184,0.192,4,5,80.0
0.8,s100_p1000_instance_4.dat,9948.80,5204.00,16911.00,5726.54,0.170,0.246,0.178,0.201,5,5,100.0
0.9,s100_p1000_instance_4.dat,7224.60,5370.00,9800.00,1640.07,0.175,0.198,0.180,0.183,5,5,100.0
1.0,s100_p1000_instance_4.dat,7500.60,5655.00,13840.00,3567.12,0.173,0.225,0.173,0.185,5,5,100.0
