alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_2.dat,10130.00,5563.00,14757.00,3831.10,0.167,0.312,0.220,0.224,5,5,100.0
0.1,s100_p1000_instance_2.dat,5597.60,3685.00,7165.00,1257.12,0.168,0.182,0.178,0.176,5,5,100.0
0.2,s100_p1000_instance_2.dat,6492.60,4811.00,9504.00,1860.72,0.166,0.202,0.170,0.178,5,5,100.0
0.3,s100_p1000_instance_2.dat,5789.20,4392.00,7258.00,1139.46,0.164,0.212,0.188,0.188,5,5,100.0
0.4,s100_p1000_instance_2.dat,6800.00,5169.00,10118.00,1918.17,0.166,0.201,0.177,0.180,5,5,100.0
0.5,s100_p1000_instance_2.dat,6170.00,4884.00,7115.00,912.47,0.181,0.411,0.274,0.294,5,5,100.0
0.6,s100_p1000_instance_2.dat,5583.20,4680.00,6931.00,1131.90,0.164,0.179,0.168,0.171,5,5,100.0
0.7,s100_p1000_instance_2.dat,7335.20,5466.00,9844.00,1637.10,0.175,0.203,0.182,0.187,5,5,100.0
0.8,s100_p1000_instance_2.dat,6661.60,4849.00,8375.00,1437.94,0.168,0.191,0.177,0.180,5,5,100.0
0.9,s100_p1000_instance_2.dat,8165.80,4745.00,12497.00,3083.70,0.167,0.219,0.187,0.190,5,5,100.0
1.0,s100_p1000_instance_2.dat,6929.80,4933.00,8340.00,1300.83,0.169,0.195,0.184,0.183,5,5,100.0
