alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_2.dat,6510.84,3815.00,12240.00,1774.57,0.054,0.113,0.074,0.075,100,100,100.0
0.1,s100_p1000_instance_2.dat,5932.28,3674.00,14032.00,1698.27,0.052,0.117,0.072,0.074,100,100,100.0
0.2,s100_p1000_instance_2.dat,6381.91,3718.00,22179.00,2392.43,0.061,0.180,0.073,0.076,100,100,100.0
0.3,s100_p1000_instance_2.dat,6527.03,3927.00,12963.00,1703.83,0.060,0.102,0.076,0.076,100,100,100.0
0.4,s100_p1000_instance_2.dat,6425.89,3972.00,12145.00,1552.44,0.058,0.137,0.075,0.077,99,100,99.0
0.5,s100_p1000_instance_2.dat,6787.12,4035.00,16622.00,1981.03,0.060,0.107,0.076,0.078,100,100,100.0
0.6,s100_p1000_instance_2.dat,7000.55,4394.00,15618.00,1798.16,0.062,0.120,0.077,0.079,100,100,100.0
0.7,s100_p1000_instance_2.dat,7607.32,4546.00,16892.00,2203.42,0.064,0.111,0.079,0.081,100,100,100.0
0.8,s100_p1000_instance_2.dat,7415.94,4629.00,17842.00,2135.72,0.064,0.151,0.079,0.082,100,100,100.0
0.9,s100_p1000_instance_2.dat,7552.32,4374.00,15985.00,2336.74,0.059,0.120,0.080,0.082,100,100,100.0
1.0,s100_p1000_instance_2.dat,7889.52,4765.00,23694.00,3038.22,0.064,0.124,0.080,0.082,100,100,100.0
