alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_9.dat,6703.69,4024.00,14884.00,2107.52,0.058,0.116,0.072,0.074,100,100,100.0
0.1,s100_p1000_instance_9.dat,6170.60,3433.00,21749.00,2555.35,0.052,0.110,0.073,0.074,98,100,98.0
0.2,s100_p1000_instance_9.dat,6387.58,3547.00,14099.00,2038.50,0.053,0.099,0.074,0.075,100,100,100.0
0.3,s100_p1000_instance_9.dat,6453.75,3812.00,23343.00,2408.65,0.055,0.117,0.074,0.076,100,100,100.0
0.4,s100_p1000_instance_9.dat,6863.72,4182.00,23306.00,2498.39,0.061,0.123,0.074,0.076,100,100,100.0
0.5,s100_p1000_instance_9.dat,7073.30,4160.00,17677.00,2318.88,0.055,0.112,0.077,0.079,100,100,100.0
0.6,s100_p1000_instance_9.dat,7507.74,4370.00,19889.00,2584.75,0.057,0.114,0.079,0.080,100,100,100.0
0.7,s100_p1000_instance_9.dat,7285.31,4515.00,16930.00,2386.81,0.057,0.110,0.078,0.080,100,100,100.0
0.8,s100_p1000_instance_9.dat,8176.48,4557.00,19284.00,3022.88,0.059,0.116,0.082,0.084,100,100,100.0
0.9,s100_p1000_instance_9.dat,7616.04,4557.00,16665.00,2024.17,0.062,0.117,0.081,0.082,100,100,100.0
1.0,s100_p1000_instance_9.dat,8119.22,4626.00,17736.00,2479.30,0.066,0.153,0.082,0.084,100,100,100.0
