numBases=20;
numSpecialists=50;
c=[14 65 63 68 44 53 13 52 75 54 44 30 25 46 94 40 35 44 63 91 50 56 44 57 94 23 67 31 32 35 100 29 23 83 68 56 39 28 70 95 95 67 17 60 57 62 39 28 29 77];
w=[87 58 100 40 22 51 54 62 33 32 72 76 22 92 19 55 65 16 51 96 51 66 88 85 53 60 72 86 52 71 21 56 88 14 34 80 87 73 71 83 87 41 80 82 54 22 92 19 12 61];
t=[
[0 25 5 10 5 24 9 19 15 19 30 15 30 -1 29 5 -1 22 -1 27]
[25 0 20 -1 29 7 5 30 29 5 19 25 20 14 13 11 30 -1 15 19]
[5 20 0 22 11 11 -1 25 20 25 26 7 -1 20 10 -1 30 30 12 14]
[10 -1 22 0 12 15 -1 5 16 8 29 28 27 27 6 8 -1 -1 17 5]
[5 29 11 12 0 27 26 17 14 20 17 14 20 29 30 11 22 18 7 14]
[24 7 11 15 27 0 28 20 29 22 17 16 9 13 15 23 15 5 -1 15]
[9 5 -1 -1 26 28 0 29 12 25 8 10 29 -1 -1 9 8 19 10 22]
[19 30 25 5 17 20 29 0 21 14 -1 21 9 30 27 -1 -1 -1 22 16]
[15 29 20 16 14 29 12 21 0 8 16 16 19 13 -1 19 6 20 9 12]
[19 5 25 8 20 22 25 14 8 0 21 5 7 11 6 30 -1 10 9 25]
[30 19 26 29 17 17 8 -1 16 21 0 7 12 5 18 23 26 13 25 -1]
[15 25 7 28 14 16 10 21 16 5 7 0 18 19 17 12 24 -1 6 12]
[30 20 -1 27 20 9 29 9 19 7 12 18 0 19 24 12 24 16 28 27]
[-1 14 20 27 29 13 -1 30 13 11 5 19 19 0 18 12 29 -1 30 15]
[29 13 10 6 30 15 -1 27 -1 6 18 17 24 18 0 5 20 -1 17 22]
[5 11 -1 8 11 23 9 -1 19 30 23 12 12 12 5 0 24 -1 18 -1]
[-1 30 30 -1 22 15 8 -1 6 -1 26 24 24 29 20 24 0 24 -1 26]
[22 -1 30 -1 18 5 19 -1 20 10 13 -1 16 -1 -1 -1 24 0 22 10]
[-1 15 12 17 7 -1 10 22 9 9 25 6 28 30 17 18 -1 22 0 8]
[27 19 14 5 14 15 22 16 12 25 -1 12 27 15 22 -1 26 10 8 0]
];
