n=100;
m=100;
c=[241 272 201 243 212 289 230 281 273 242 267 300 292 274 204 271 260 215 254 293 290 274 215 262 210 281 296 263 280 243 213 201 255 296 244 262 258 226 240 281 242 286 252 288 298 277 220 260 281 290 291 230 274 227 223 289 218 258 256 216 239 228 247 282 297 236 220 204 236 264 260 231 271 257 224 252 217 258 247 250 284 298 207 216 277 295 254 203 206 285 231 251 263 228 201 260 229 250 231 290];
w=[289 199 215 163 104 201 279 128 202 229 164 150 181 141 296 162 217 252 265 232 177 162 188 273 122 123 198 255 192 108 249 242 120 195 229 252 253 236 223 130 243 233 239 221 228 143 142 107 275 202 300 170 234 289 286 130 288 214 202 177 250 132 197 145 284 211 246 281 205 237 115 242 128 109 137 295 163 108 121 188 149 147 167 279 256 223 142 298 221 115 251 143 163 300 232 109 286 207 178 243];
t=[
[0 -1 -1 -1 -1 358 -1 156 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 446 -1 -1 209 -1 -1 448 -1 473 -1 -1 -1 -1 -1 -1 -1 -1 -1 199 -1 -1 -1 -1 -1 139 -1 -1 -1 -1 -1 -1 163 323 171 135 458 -1 -1 -1 298 -1 -1 -1 -1 -1 -1 -1 345 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 339 -1 -1 270 405 467 368 -1 -1 175 271 -1 203 -1 -1 -1 369 190 -1 291 227]
[-1 0 -1 -1 195 416 -1 -1 -1 153 -1 477 -1 -1 225 -1 419 253 -1 -1 -1 287 -1 171 -1 173 -1 -1 255 -1 -1 135 -1 -1 -1 493 -1 474 -1 -1 429 -1 138 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 131 245 -1 420 -1 140 -1 -1 419 -1 -1 -1 -1 -1 -1 -1 -1 260 -1 -1 -1 -1 -1 -1 -1 -1 -1 379 -1 -1 -1 312 -1 -1 -1 -1 236 -1 -1 -1 -1 -1 -1 280 -1 -1]
[-1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 226 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 101 -1 -1 -1 113 324 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 483 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 156 454 267 -1 -1 -1 -1 -1 -1 -1 -1 -1 224 -1 -1 334 -1 -1 -1 170 -1 -1 -1]
[-1 -1 -1 0 -1 478 -1 -1 -1 -1 320 -1 -1 -1 -1 -1 -1 -1 245 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 500 -1 188 287 -1 -1 -1 -1 -1 -1 283 -1 -1 -1 -1 245 -1 -1 -1 -1 -1 -1 -1 141 -1 -1 234 255 -1 -1 -1 -1 -1 358 -1 -1 -1 -1 -1 325 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 285 367 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 232 -1 414 -1 -1]
[-1 195 -1 -1 0 -1 -1 -1 -1 386 -1 -1 359 -1 -1 -1 224 -1 492 -1 -1 369 -1 -1 133 -1 -1 -1 -1 -1 -1 482 -1 310 -1 -1 -1 123 -1 -1 -1 -1 -1 -1 -1 -1 -1 198 -1 -1 -1 497 -1 280 -1 -1 -1 -1 246 336 -1 310 -1 216 -1 -1 386 231 -1 -1 -1 -1 -1 -1 -1 -1 155 461 -1 -1 167 485 -1 -1 -1 -1 392 -1 -1 -1 -1 -1 417 -1 -1 -1 272 -1 -1 -1]
[358 416 -1 478 -1 0 -1 -1 -1 425 -1 -1 -1 -1 -1 -1 -1 -1 -1 486 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 226 -1 -1 -1 443 -1 -1 -1 -1 -1 -1 400 174 -1 -1 463 -1 -1 -1 421 -1 -1 270 -1 -1 -1 488 -1 -1 -1 -1 -1 -1 -1 253 -1 -1 -1 -1 -1 363 322 407 -1 -1 -1 -1 348 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
[-1 -1 -1 -1 -1 -1 0 -1 -1 -1 434 -1 -1 -1 119 434 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 239 -1 -1 -1 -1 175 -1 -1 166 -1 300 -1 -1 -1 -1 -1 -1 -1 357 282 -1 388 -1 -1 -1 333 205 -1 -1 127 -1 -1 -1 363 -1 -1 -1 -1 -1 -1 -1 256 413 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
