n=80;
m=80;
c=[285 243 242 260 245 213 280 265 298 223 275 269 212 293 201 229 227 203 267 216 275 204 213 237 283 213 210 265 299 293 290 286 204 291 259 216 296 276 202 297 279 297 204 297 237 214 240 299 252 291 203 221 264 227 243 258 238 265 250 272 211 223 244 288 235 272 235 294 275 210 241 249 274 219 210 291 289 244 245 232];
w=[217 166 285 158 156 107 232 209 257 225 147 252 141 179 283 113 264 170 206 167 164 129 185 150 152 128 255 218 244 183 280 133 266 119 263 163 186 153 135 168 252 256 127 156 287 287 216 117 216 148 110 278 180 219 285 148 231 220 212 252 260 107 145 137 138 191 217 270 120 189 287 130 212 294 209 176 254 281 230 126];
t=[
[0 -1 -1 -1 -1 216 -1 -1 -1 -1 -1 -1 209 -1 -1 -1 -1 -1 433 -1 -1 -1 -1 -1 298 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 439 -1 -1 -1 -1 -1 -1 416 -1 -1 -1 -1 207 -1 -1 -1 -1 238 -1 -1 197 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
[-1 0 -1 -1 -1 -1 -1 -1 -1 -1 373 -1 -1 -1 -1 -1 -1 134 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 212 -1 -1 -1 -1 -1 -1 -1 223 -1 -1 -1 -1 -1 165 -1 -1 -1 -1 401 -1 -1 424 -1 -1 -1 -1 417 -1 -1 -1 376 -1 -1 411 -1 -1 -1 -1 -1 -1 -1 -1]
[-1 -1 0 -1 374 -1 496 388 -1 -1 433 -1 234 313 -1 -1 -1 -1 -1 -1 450 -1 -1 -1 314 -1 -1 -1 451 -1 -1 130 -1 -1 -1 -1 -1 -1 -1 429 249 -1 281 -1 -1 -1 -1 -1 -1 -1 166 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 426 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
[-1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 290 -1 -1 -1 489 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 442 -1 -1 -1 -1 -1 -1 -1 282 -1 -1 -1 -1 373 -1 204 -1 -1 175 -1 187 -1 -1 -1 -1 -1 -1 -1 -1 384 -1 460 -1 -1]
[-1 -1 374 -1 0 -1 478 -1 370 -1 -1 -1 -1 478 -1 -1 -1 -1 -1 -1 -1 304 -1 -1 -1 -1 260 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 442 320 -1 -1 -1 -1 -1 354 -1 -1 -1 -1 332 -1 -1 120 465 -1 423 -1 -1 -1 217 -1 -1 -1 -1 -1 -1 256 -1 462 -1 -1 -1 -1 -1]
[216 -1 -1 -1 -1 0 426 -1 -1 -1 -1 174 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 212 -1 -1 -1 -1 446 283 -1 -1 -1 -1 -1 -1 -1 -1 -1 296 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 335 -1 -1 -1 435 279 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 443 -1 239 477 310 -1 -1 -1 469 -1 -1 -1 224]
[-1 -1 496 -1 478 426 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 243 -1 -1 -1 -1 335 -1 302 -1 -1 -1 -1 394 -1 -1 -1 421 169 -1 -1 413 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 206 -1 -1 -1 409 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 194 -1 -1 482 -1 294 184 -1 -1 -1 500 -1]
[-1 -1 388 -1 -1 -1 -1 0 -1 -1 -1 167 -1 -1 -1 -1 -1 -1 -1 199 -1 323 303 397 -1 -1 -1 -1 -1 -1 -1 -1 423 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 104 -1 -1 -1 399 -1 -1 387 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 222 -1 -1 -1 -1 430 -1 -1 -1 -1]
