n=110;
m=110;
c=[255 292 218 295 279 258 275 297 266 286 241 214 284 291 282 273 212 236 244 249 279 208 251 248 275 238 229 273 230 264 234 218 270 268 271 275 237 214 205 247 200 281 267 289 204 285 290 291 221 255 284 218 293 230 254 213 211 238 254 258 291 235 238 272 257 209 291 228 249 232 271 292 232 259 267 242 271 246 297 300 293 262 241 288 210 231 280 253 245 252 213 254 208 240 244 226 211 279 217 238 241 206 285 200 260 258 207 212 284 222];
w=[206 135 108 129 191 103 203 242 272 177 149 125 198 218 259 144 192 162 202 245 131 232 144 272 278 182 298 238 260 187 155 105 245 278 244 228 170 278 268 129 235 211 215 183 169 281 188 171 215 154 299 262 230 222 161 291 295 284 142 275 209 125 193 128 192 215 287 211 243 205 150 287 203 158 121 210 249 121 230 134 124 292 173 126 269 112 117 205 259 271 210 227 111 223 228 226 117 180 117 265 183 138 153 189 156 202 298 270 203 182];
t=[
[0 -1 -1 -1 -1 -1 193 -1 -1 -1 -1 -1 303 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 210 -1 -1 -1 -1 430 -1 190 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 485 -1 -1 -1 -1 -1 -1 -1 -1 336 -1 -1 472 -1 -1 -1 222 -1 -1 -1 -1 -1 -1 462 -1 -1 -1 -1 161 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 480 -1 367]
[-1 0 -1 490 -1 -1 -1 -1 -1 173 -1 -1 -1 378 -1 161 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 446 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 261 115 -1 -1 -1 -1 -1 -1 -1 465 -1 -1 -1 216 -1 -1 -1 -1 -1 -1 -1 -1 -1 123 -1 -1 313 -1 -1 -1 -1 -1 365 -1 -1 -1]
[-1 -1 0 -1 -1 -1 326 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 453 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 325 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 471 -1 -1 208 -1 242 -1 -1 -1 -1 -1 -1 -1 -1 -1 498 -1 -1 -1 -1 -1 287 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 230 -1 -1 -1 -1 -1]
[-1 490 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 495 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 328 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 466 -1 -1 -1 -1 -1 -1 379 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 306 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
[-1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 174 -1 -1 -1 -1 -1 -1 437 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 421 194 -1 -1 -1 173 -1 -1 -1 -1 -1 -1 -1 -1 -1 282 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 455 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
[-1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 263 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 112 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 361 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 159 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 467 -1 -1 -1 -1 -1 -1 -1 380 -1 168 -1 -1 433 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 123 110 -1 -1 -1 -1 -1 -1 356 -1]
[193 -1 326 -1 -1 -1 0 -1 433 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 324 -1 -1 -1 -1 -1 -1 -1 -1 410 -1 -1 -1 288 -1 -1 -1 -1 193 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 111 -1 -1 -1 -1 -1 258 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 333 -1 -1 -1 -1 449 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
