alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_6.dat,6873.04,4752.00,20099.00,2589.61,0.058,0.130,0.071,0.075,100,100,100.0
0.1,s100_p1000_instance_6.dat,6479.47,4535.00,20362.00,2385.87,0.061,0.208,0.074,0.078,100,100,100.0
0.2,s100_p1000_instance_6.dat,6829.16,4841.00,19108.00,2228.59,0.062,0.117,0.074,0.077,100,100,100.0
0.3,s100_p1000_instance_6.dat,6609.93,4761.00,13705.00,1440.59,0.059,0.118,0.075,0.077,100,100,100.0
0.4,s100_p1000_instance_6.dat,7143.71,5017.00,14679.00,1482.26,0.064,0.107,0.077,0.079,100,100,100.0
0.5,s100_p1000_instance_6.dat,6960.62,5087.00,15090.00,1721.52,0.063,0.148,0.077,0.080,99,100,99.0
0.6,s100_p1000_instance_6.dat,7661.57,5108.00,17055.00,2357.72,0.064,0.124,0.077,0.080,100,100,100.0
0.7,s100_p1000_instance_6.dat,7896.17,5189.00,19723.00,2446.48,0.062,0.132,0.080,0.082,100,100,100.0
0.8,s100_p1000_instance_6.dat,8012.18,5412.00,23002.00,2866.37,0.063,0.149,0.080,0.084,100,100,100.0
0.9,s100_p1000_instance_6.dat,7817.26,5361.00,18549.00,2101.23,0.068,0.121,0.081,0.083,100,100,100.0
1.0,s100_p1000_instance_6.dat,7989.41,5274.00,22924.00,2929.84,0.064,0.121,0.078,0.082,100,100,100.0
