alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_0.dat,6129.87,3078.00,18287.00,2558.12,0.054,0.126,0.072,0.074,100,100,100.0
0.1,s100_p1000_instance_0.dat,5880.14,2979.00,19091.00,2465.87,0.055,0.117,0.071,0.073,100,100,100.0
0.2,s100_p1000_instance_0.dat,6121.17,3029.00,16085.00,2456.95,0.052,0.127,0.073,0.077,100,100,100.0
0.3,s100_p1000_instance_0.dat,6300.97,3096.00,19533.00,2329.79,0.058,0.112,0.075,0.076,100,100,100.0
0.4,s100_p1000_instance_0.dat,6292.52,3119.00,19065.00,2329.43,0.055,0.146,0.075,0.077,100,100,100.0
0.5,s100_p1000_instance_0.dat,6828.58,3259.00,15395.00,1968.39,0.059,0.113,0.078,0.078,100,100,100.0
0.6,s100_p1000_instance_0.dat,6613.76,3318.00,16748.00,2658.07,0.057,0.111,0.077,0.079,100,100,100.0
0.7,s100_p1000_instance_0.dat,7104.14,3546.00,18153.00,2603.84,0.059,0.133,0.078,0.080,100,100,100.0
0.8,s100_p1000_instance_0.dat,7310.64,3468.00,21903.00,2810.82,0.058,0.133,0.080,0.082,100,100,100.0
0.9,s100_p1000_instance_0.dat,7507.03,3360.00,15776.00,2265.26,0.059,0.130,0.082,0.084,100,100,100.0
1.0,s100_p1000_instance_0.dat,7180.21,3598.00,24377.00,2945.63,0.056,0.188,0.080,0.082,100,100,100.0
