n = 10;

m = 32;

w = [  20  12  5  5  13  16  10  12  7  20  3  15  12  4  18  9  9  15  18  14  10  7  14  5  6  7  4  10  12  6  11  4  ];

c = [  75  55  20  14  25  53  83  51  10  93  15  9  59  22  21  71  1  75  13  72  47  5  64  93  54  43  49  1  47  87  57  22  ];

t = [
    [  0  77  64  19  -1  10  -1  69  -1  40  ]
    [  77  0  39  22  -1  -1  75  26  -1  -1  ]
    [  64  39  0  10  92  36  13  -1  26  51  ]
    [  19  22  10  0  46  2  57  -1  -1  72  ]
    [  -1  -1  92  46  0  -1  56  -1  79  -1  ]
    [  10  -1  36  2  -1  0  52  -1  -1  79  ]
    [  -1  75  13  57  56  52  0  68  -1  10  ]
    [  69  26  -1  -1  -1  -1  68  0  30  -1  ]
    [  -1  -1  26  -1  79  -1  -1  30  0  -1  ]
    [  40  -1  51  72  -1  79  10  -1  -1  0  ]
];
