n = 10;

m = 32;

w = [  11  13  17  13  1  10  14  2  7  9  1  19  11  1  1  7  9  7  15  6  20  14  12  1  4  14  13  8  7  8  5  9  ];

c = [  40  29  84  37  62  25  87  99  18  22  9  37  1  29  2  77  73  73  28  56  76  94  29  78  33  5  68  42  71  91  59  10  ];

t = [
    [  0  -1  46  -1  -1  -1  82  84  -1  -1  ]
    [  -1  0  18  84  -1  -1  -1  -1  64  -1  ]
    [  46  18  0  -1  -1  -1  37  77  -1  18  ]
    [  -1  84  -1  0  -1  -1  21  62  -1  -1  ]
    [  -1  -1  -1  -1  0  -1  -1  95  -1  -1  ]
    [  -1  -1  -1  -1  -1  0  96  -1  -1  48  ]
    [  82  -1  37  21  -1  96  0  -1  -1  98  ]
    [  84  -1  77  62  95  -1  -1  0  53  -1  ]
    [  -1  64  -1  -1  -1  -1  -1  53  0  -1  ]
    [  -1  -1  18  -1  -1  48  98  -1  -1  0  ]
];
